Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Acute_Survivor_36_1					91.48973169976787	57.0	138.76447106512313	20.0	18198384.0
Acute_Survivor_36_2					90.57093897870607	57.0	135.88592003553723	40.0	18198384.0
Acute_Survivor_37	36.44134292203646	8384340	19.21	11510305.0					
Acute_Survivor_37._STARpass1			19.21	11507869.0					
Acute_Survivor_37_1					92.46362385471079	55.0	142.1477139537361	20.0	59916154.0
Acute_Survivor_37_2					91.10013863168003	54.0	138.55576175667082	40.0	59916154.0
Acute_Survivor_38	31.267758109773464	2972602	15.3	4755814.0					
Acute_Survivor_38._STARpass1			15.58	4843154.0					
Acute_Survivor_38_1					93.6306131671302	55.0	140.84660006146777	20.0	31082959.0
Acute_Survivor_38_2					92.25755839693079	54.0	137.20273124576073	40.0	31082959.0
Acute_Survivor_39	59.11275290336623	4559995	8.37	3861685.0					
Acute_Survivor_39._STARpass1			8.39	3872063.0					
Acute_Survivor_39_1					95.51518227970934	57.0	141.4351851039536	30.0	46164303.0
Acute_Survivor_39_2					94.41605929609354	56.0	137.9089804735057	40.0	46164303.0
Acute_Survivor_4	32.77888607431852	1607944	20.43	2452992.0					
Acute_Survivor_4._STARpass1			20.45	2456282.0					
Acute_Survivor_41	33.37931612608146	5168471	17.9	7745924.0					
Acute_Survivor_41._STARpass1			18.53	8020677.0					
Acute_Survivor_41_1					92.75015363825347	55.0	141.42828082676414	20.0	43275220.0
Acute_Survivor_41_2					91.36756810831208	55.0	137.8117139785771	40.0	43275220.0
Acute_Survivor_42	37.75674897065923	3606795	16.64	4778553.0					
Acute_Survivor_42._STARpass1			16.61	4770442.0					
Acute_Survivor_42_1					91.48296892727211	55.0	141.4559514849022	20.0	28721286.0
Acute_Survivor_42_2					90.06445421570622	55.0	138.01720936172566	40.0	28721286.0
Acute_Survivor_43	37.110402891784666	6914650	21.7	9322208.0					
Acute_Survivor_43._STARpass1			21.84	9382403.0					
Acute_Survivor_43_1					89.2878217605597	54.0	140.39608356042973	20.0	42967802.0
Acute_Survivor_43_2					87.47718138911814	53.0	136.63369350380083	40.0	42967802.0
Acute_Survivor_4_1					82.7627226328181	54.0	118.49575070043102	30.0	12009391.0
Acute_Survivor_4_2					80.87456397224659	52.0	117.60838297295841	30.0	12009391.0
Acute_Survivor_7	45.15897483643004	1804344	14.74	1997924.0					
Acute_Survivor_7._STARpass1			14.75	1998726.0					
Acute_Survivor_7_1					88.45599551347985	55.0	118.70896740794406	30.0	13554530.0
Acute_Survivor_7_2					87.91743461360142	54.0	118.31370501227265	40.0	13554530.0
Acute_Survivor_8	26.64110570300303	58019	6.02	108901.0					
Acute_Survivor_8._STARpass1			5.86	106078.0					
Acute_Survivor_8_1					86.29982966315224	51.0	119.71916940871748	30.0	1809169.0
Acute_Survivor_8_2					82.83404060255003	51.0	118.96566876836825	20.0	1809169.0
Acute_Survivor_9	2.0664437569075322	194621	11.38	4709557.0					
Acute_Survivor_9._STARpass1			11.45	4738338.0					
Acute_Survivor_9_1					89.69297585189963	47.0	117.7808144820043	20.0	41380681.0
Acute_Survivor_9_2					86.48386845546773	46.0	116.89994676501337	10.0	41380681.0
